;Name;Age;Value
1972;Michael Gregoritsch;26;€ 8.0M
1973;Koen Casteels;28;€ 8.0M
1974;Lukás Hradecký;30;€ 8.0M
1975;Moussa Niakhaté;24;€ 6.0M
1976;Marcel Halstenberg;28;€ 20.0M
1977;Holger Badstuber;31;€ 1.0M
1978;Aarón Martín;23;€ 7.0M
1979;Edimilson Fernandes;24;€ 8.0M
1980;Ozan Kabak;20;€ 4.0M
1981;Santiago Ascacíbar;23;€ 8.0M
1982;John Brooks;27;€ 6.0M
1983;Vladimir Darida;29;€ 5.0M
1984;Timo Horn;27;€ 6.0M
1985;Bas Dost;31;€ 8.0M
1986;William;25;€ 7.0M
1987;Salif Sané;29;€ 10.0M
1988;Silas Wamangituka;20;€ 3.0M
1989;Ritsu Dôan;22;€ 6.0M
1990;Kevin Vogt;28;€ 9.0M
1991;Christoph Kramer;29;€ 8.0M
1992;Amin Younes;26;€ 8.0M
1993;Maximilian Philipp;26;€ 6.0M
1994;Daniel Ginczek;29;€ 6.0M
1995;Florian Müller;22;€ 4.0M
1996;Nico Schlotterbeck;20;€ 2.0M
1997;Ömer Toprak;31;€ 5.0M
1998;Omar Alderete;23;€ 5.0M
1999;Hwang Hee-Chan;24;€ 4.0M
2000;Evan N'Dicka;20;€ 3.0M
2001;Oliver Baumann;30;€ 4.0M
2002;Niclas Füllkrug;27;€ 8.0M
2003;Gonzalo Castro;33;€ 1.0M
2004;Dennis Geiger;22;€ 7.0M
2005;Jetro Willems;26;€ 4.0M
2006;Robin Quaison;26;€ 7.0M
2007;Nicolás González;22;€ 6.0M
2008;Ellyes Skhiri;25;€ 7.0M
2009;Josuha Guilavogui;29;€ 9.0M
2010;Patrick Herrmann;29;€ 7.0M
2011;Sebastian Rode;29;€ 7.0M
2012;Noah Katterbach;19;€ 3.0M
2013;Jeffrey Bruma;28;€ 2.0M
2014;Ondrej Duda;25;€ 8.0M
2015;Dedryck Boyata;29;€ 7.0M
2016;Lucas Tousart;23;€ 5.0M
2017;Almamy Touré;24;€ 5.0M
2018;Jordan Torunarigha;22;€ 3.0M
2019;Willi Orban;27;€ 7.0M
2020;Deyovaisio Zeefuik;22;€ 4.0M
2021;Maxim Choupo-Moting;31;€ 5.0M
2022;Aleksandar Dragovic;29;€ 3.0M
2023;Pavel Kaderabek;28;€ 9.0M
2024;Anthony Modeste;32;€ 2.0M
2025;Daniel Didavi;30;€ 3.0M
2026;Loris Karius;27;€ 9.0M
2027;Yannick Gerhardt;26;€ 4.0M
2028;Vincenzo Grifo;27;€ 9.0M
2029;Stefan Posch;23;€ 5.0M
2030;Vedad Ibisevic;35;€ 400K
2031;Tin Jedvaj;24;€ 4.0M
2032;Bouna Sarr;28;€ 9.0M
2033;Mitchell Weiser;26;€ 6.0M
2034;Benjamin Henrichs;23;€ 5.0M
2035;Ralf Fährmann;31;€ 3.0M
2036;Jan Thielmann;18;€ 3.0M
2037;Wout Weghorst;27;€ 9.0M
2038;Nabil Bentaleb;25;€ 3.0M
2039;Martin Hinteregger;27;€ 7.0M
2040;Benito Raman;25;€ 6.0M
2041;Alexander Schwolow;28;€ 6.0M
2042;André Hahn;29;€ 7.0M
2043;Jonas Hofmann;28;€ 7.0M
2044;Kevin Akpoguma;25;€ 5.0M
2045;Maximilian Mittelstädt;23;€ 6.0M
2046;Lars Stindl;31;€ 2.0M
2047;Admir Mehmedi;29;€ 6.0M
2048;Ruben Vargas;21;€ 4.0M
2049;Iago;23;€ 4.0M
2050;Ihlas Bebou;26;€ 6.0M
2051;Julian Baumgartlinger;32;€ 3.0M
2052;Leonardo Bittencourt;26;€ 5.0M
2053;Levin Öztunali;24;€ 4.0M
2054;Konstantinos Mavropanos;22;€ 8.0M
2055;Alfreð Finnbogason;31;€ 6.0M
2056;Jhon Córdoba;27;€ 8.0M
2057;Kevin Stöger;26;€ 7.0M
2058;Theodor Gebre Selassie;33;€ 1.0M
2059;Baptiste Santamaria;25;€ 5.0M
2060;Benjamin Hübner;31;€ 5.0M
2061;Eduard Löwen;23;€ 4.0M
2062;Marwin Hitz;32;€ 4.0M
2063;David Abraham;34;€ 500K
2064;Christoph Baumgartner;21;€ 2.0M
2065;Orel Mangala;22;€ 3.0M
2066;Reece Oxford;21;€ 2.0M
2067;Christian Gentner;34;€ 300K
2068;Tahith Chong;20;€ 9.0M
2069;Carlos Gruezo;25;€ 4.0M
2070;Aymen Barkok;22;€ 2.0M
2071;Makoto Hasebe;36;€ 600K
2072;Mark Uth;28;€ 4.0M
2073;Dominique Heintz;26;€ 6.0M
2074;Florian Niederlechner;29;€ 6.0M
2075;Omar Mascarell;27;€ 5.0M
2076;Ludwig Augustinsson;26;€ 6.0M
2077;Niklas Moisander;34;€ 300K
2078;Benjamin Stambouli;29;€ 4.0M
2079;Jonathan Schmid;30;€ 4.0M
2080;Louis Beyer;20;€ 3.0M
2081;Gregor Kobel;22;€ 3.0M
2082;Milos Veljkovic;24;€ 4.0M
2083;Stefan Lainer;27;€ 5.0M
2084;Marek Suchy;32;€ 1.0M
2085;Nils Petersen;31;€ 4.0M
2086;Christian Günter;28;€ 6.0M
2087;Nico Schulz;27;€ 9.0M
2088;Felix Passlack;22;€ 2.0M
2089;Roland Sallai;23;€ 4.0M
2090;Jeffrey Gouweleeuw;29;€ 6.0M
2091;Jean-Paul Boëtius;26;€ 8.0M
2092;Jorge Meré;23;€ 2.0M
2093;Kwon Chang-Hoon;26;€ 5.0M
2094;Robin Knoche;28;€ 5.0M
2095;Guus Til;22;€ 3.0M
2096;Mijat Gacinovic;25;€ 6.0M
2097;Daichi Kamada;23;€ 4.0M
2098;Alessandro Schöpf;26;€ 3.0M
2099;Philipp Lienhart;24;€ 3.0M
2100;Dominik Kohr;26;€ 5.0M
2101;Tony Jantschke;30;€ 2.0M
2102;Dominick Drexler;30;€ 4.0M
2103;Robert Andrich;25;€ 5.0M
2104;Marvin Plattenhardt;28;€ 9.0M
2105;Pascal Stenzel;24;€ 3.0M
2106;Renato Steffen;28;€ 4.0M
2107;Yûya Ôsako;30;€ 3.0M
2108;Ermedin Demirovic;22;€ 3.0M
2109;Borna Sosa;22;€ 3.0M
2110;Frederik Rønnow;27;€ 2.0M
2111;Danny Latza;30;€ 3.0M
2112;Erik Thommy;25;€ 4.0M
2113;Waldemar Anton;24;€ 4.0M
2114;Daniel Brosinski;32;€ 2.0M
2115;Erik Durm;28;€ 4.0M
2116;Jean-Manuel Mbom;20;€ 1.0M
2117;Joshua Brenet;26;€ 3.0M
2118;Rune Jarstein;35;€ 1.0M
2119;Gonçalo Paciência;26;€ 4.0M
2120;Michael Lang;29;€ 4.0M
2121;Rabbi Matondo;19;€ 3.0M
2122;Tobias Strobl;30;€ 4.0M
2123;Marc-Oliver Kempf;25;€ 3.0M
2124;Ismail Jakobs;20;€ 3.0M
2125;Marcel Schmelzer;32;€ 2.0M
2126;Jerry St. Juste;23;€ 3.0M
2127;Håvard Nordtveit;30;€ 3.0M
2128;Steven Zuber;28;€ 4.0M
2129;Sergio Córdova;22;€ 2.0M
2130;Ji Dong-Won;29;€ 4.0M
2131;Sargis Adamyan;27;€ 5.0M
2132;Stefan Ilsanker;31;€ 6.0M
2133;Danny da Costa;27;€ 2.0M
2134;Cedric Teuchert;23;€ 3.0M
2135;Kostas Stafylidis;26;€ 3.0M
2136;Lászlo Bénes;22;€ 4.0M
2137;Oscar Wendt;34;€ 300K
2138;Josh Sargent;20;€ 3.0M
2139;Florian Kainz;27;€ 4.0M
2140;Bastian Oczipka;31;€ 3.0M
2141;Lucas Höler;26;€ 4.0M
2142;Marvin Friedrich;24;€ 3.0M
2143;Atakan Karazor;23;€ 3.0M
2144;Mike van der Hoorn;27;€ 4.0M
2145;Josep Martínez;22;€ 1.0M
2146;Sebastian Andersson;29;€ 5.0M
2147;Pierre Kunde;25;€ 3.0M
2148;Wataru Endô;27;€ 4.0M
2149;Andreas Poulsen;20;€ 2.0M
2150;Janik Haberer;26;€ 2.0M
2151;Marco Richter;22;€ 4.0M
2152;Kevin Möhwald;27;€ 2.0M
2153;Lazar Samardzic;18;€ 1.0M
2154;Ibrahima Traoré;32;€ 1.0M
2155;Timothy Chandler;30;€ 3.0M
2156;Tomas Koubek;27;€ 2.0M
2157;Joel Pohjanpalo;25;€ 3.0M
2158;Noah-Joel Sarenren-Bazee;23;€ 3.0M
2159;Felix Agu;20;€ 2.0M
2160;Ádám Szalai;32;€ 1.0M
2161;Daley Sinkgraven;25;€ 3.0M
2162;João Victor;26;€ 4.0M
2163;Clinton Mola;19;€ 1.0M
2164;Stefan Bell;28;€ 2.0M
2165;Felix Klaus;27;€ 4.0M
2166;Rani Khedira;26;€ 3.0M
2167;Marius Bülter;27;€ 3.0M
2168;Alexander Hack;26;€ 3.0M
2169;Ermin Bicakcic;30;€ 3.0M
2170;Reinhold Yabo;28;€ 3.0M
2171;Jonathan Burkardt;20;€ 2.0M
2172;Kasim Adams;25;€ 3.0M
2173;Lukas Klünter;24;€ 3.0M
2174;Marcel Hartel;24;€ 3.0M
2175;Julian Schieber;31;€ 2.0M
2176;Fabian Bredlow;25;€ 2.0M
2177;Jannes Horn;23;€ 2.0M
2178;Gian-Luca Itter;21;€ 1.0M
2179;Marco Friedl;22;€ 2.0M
2180;Frederik Sørensen;28;€ 2.0M
2181;Nicolas Höfler;30;€ 2.0M
2182;Rafael Czichos;30;€ 3.0M
2183;Marco Höger;30;€ 2.0M
2184;Robin Zentner;25;€ 2.0M
2185;Benno Schmitz;25;€ 5.0M
2186;Raphael Framberger;24;€ 3.0M
2187;Ahmed Kutucu;20;€ 1.0M
2188;Klauss;23;€ 1.0M
2189;Tuta;21;€ 2.0M
2190;Karim Onisiwo;28;€ 4.0M
2191;Salih Özcan;22;€ 2.0M
2192;Robert Gumny;22;€ 400K
2193;Elvis Rexhbecaj;22;€ 1.0M
2194;Hamza Mendyl;22;€ 3.0M
2195;Michael Langer;35;€ 200K
2196;Marijan Cavar;22;€ 1.0M
2197;Jan Moravek;30;€ 3.0M
2198;Niko Gießelmann;28;€ 2.0M
2199;Grischa Prömel;25;€ 2.0M
2200;Jessic Ngankam;20;€ 400K
2201;Dimitris Limnios;22;€ 2.0M
2202;Kingsley Ehizibue;25;€ 3.0M
2203;Peter Pekarik;33;€ 500K
2204;Fiete Arp;20;€ 1.0M
2205;Mathew Leckie;29;€ 2.0M
2206;Fredrik Jensen;22;€ 2.0M
2207;Steven Skrzybski;27;€ 2.0M
2208;Luca Kilian;20;€ 500K
2209;Akaki Gogia;28;€ 1.0M
2210;Roberto Massimo;19;€ 2.0M
2211;Markus Schubert;22;€ 600K
2212;Taiwo Awoniyi;22;€ 5.0M
2213;Christopher Trimmel;33;€ 700K
2214;Mads Pedersen;23;€ 1.0M
2215;Tobias Sippel;32;€ 1.0M
2216;Johannes Flum;32;€ 900K
2217;Stefanos Kapino;26;€ 1.0M
2218;Joakim Nilsson;26;€ 2.0M
2219;Woo-yeong Jeong;20;€ 1.0M
2220;Manuel Gulde;29;€ 3.0M
2221;Fabian Klos;32;€ 1.0M
2222;Philipp Tschauner;34;€ 800K
2223;Andreas Luthe;33;€ 1.0M
2224;Lino Tempelmann;21;€ 300K
2225;Aílton;25;€ 300K
2226;Issah Abass;21;€ 2.0M
2227;Amir Abrashi;30;€ 2.0M
2228;Manuel Prietl;28;€ 1.0M
2229;Philipp Mwene;26;€ 2.0M
2230;Sasa Kalajdzic;23;€ 1.0M
2231;Christian Clemens;28;€ 1.0M
2232;Julian Ryerson;22;€ 1.0M
2233;Pavao Pervan;32;€ 1.0M
2234;Maxence Lacroix;20;€ 1.0M
2235;Lukas Kübler;27;€ 2.0M
2236;Daishawn Redan;19;€ 1.0M
2237;Mateu Morey;20;€ 300K
2238;Oscar Linnér;23;€ 700K
2239;Anthony Ujah;29;€ 1.0M
2240;Marcus Ingvartsen;24;€ 2.0M
2241;Philipp Förster;25;€ 1.0M
2242;Nils Körber;23;€ 300K
2243;Andreas Voglsammer;28;€ 2.0M
2244;Sheraldo Becker;25;€ 1.0M
2245;Jacob Barrett Laursen;25;€ 1.0M
2246;Jóan Símun Edmundsson;29;€ 1.0M
2247;Max Grün;33;€ 800K
2248;Felix Götze;22;€ 1.0M
2249;Marcin Kaminski;28;€ 800K
2250;Rafal Gikiewicz;32;€ 2.0M
2251;Paulo Otávio;25;€ 2.0M
2252;Nathan de Medina;22;€ 400K
2253;Stefan Ortega;27;€ 1.0M
2254;Maxime Awoudja;22;€ 1.0M
2255;Amos Pieper;22;€ 1.0M
2256;Christopher Lenz;25;€ 1.0M
2257;Philipp Klement;27;€ 1.0M
2258;Florian Hübner;29;€ 1.0M
2259;Nils Seufert;23;€ 500K
2260;Kilian Ludewig;20;€ 600K
2261;Cédric Brunner;26;€ 1.0M
2262;Julio Villalba;21;€ 300K
2263;Nassim Boujellab;21;€ 900K
2264;Patrick Erras;25;€ 2.0M
2265;Sebastian Griesbeck;29;€ 1.0M
2266;Sven Schipplock;31;€ 600K
2267;Mark Flekken;27;€ 2.0M
2268;Palko Dárdai;21;€ 700K
2269;Keven Schlotterbeck;23;€ 1.0M
2270;Ragnar Ache;22;€ 1.0M
2271;Benjamin Uphoff;26;€ 700K
2272;João Queirós;22;€ 200K
2273;Stephan Fürstner;32;€ 400K
2274;Kilian Jakob;22;€ 300K
2275;Ajdin Hrustic;24;€ 1.0M
2276;Hamadi Al Ghaddioui;29;€ 900K
2277;Dimitri Lavalée;23;€ 400K
2278;Lennart Grill;21;€ 200K
2279;Christian Gebauer;26;€ 700K
2280;Romano Schmid;20;€ 800K
2281;Anderson Lucoqui;23;€ 200K
2282;Ole Käuper;23;€ 200K
2283;Christian Groß;31;€ 200K
2284;Jakob Busk;26;€ 200K
2285;Brian Behrendt;28;€ 500K
2286;Philipp Pentke;35;€ 200K
2287;Jens Grahl;31;€ 300K
2288;Niklas Lomb;27;€ 100K
2289;Cebio Soukou;27;€ 300K
2290;Sebastian Müller;19;€ 100K
2291;Lennart Moser;20;€ 100K
2292;Richard Weil;32;€ 70.0K
2293;Finn Dahmen;22;€ 100K
2294;Lukas Fahrnberger;19;€ 30.0K
2295;Nikolai Rehnen;23;€ 70.0K
2296;Jabez Makanda;18;€ 70.0K
2297;Stefan Rankic;19;€ 40.0K
2298;Yannick Brugger;19;€ 30.0K
2299;Maximilian Göggel;18;€ 10.0K
